Rank,Title,Year,Rating,Run Time (min),Genre
1,The Shawshank Redemption,1994,9.3,142,Drama
2,The Godfather,1972,9.2,175,"Crime, Drama"
3,The Dark Knight,2008,9.0,152,"Action, Crime, Drama"
4,The Lord of the Rings: The Return of the King,2003,9.0,201,"Action, Adventure, Drama"
5,Schindler's List,1993,9.0,195,"Biography, Drama, History"
6,12 Angry Men,1957,9.0,96,"Crime, Drama"
7,The Godfather Part II,1974,9.0,202,"Crime, Drama"
8,Pulp Fiction,1994,8.9,154,"Crime, Drama"
9,Inception,2010,8.8,148,"Action, Adventure, Sci-Fi"
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,"Action, Adventure, Drama"
11,Fight Club,1999,8.8,139,Drama
12,Forrest Gump,1994,8.8,142,"Drama, Romance"
13,The Lord of the Rings: The Two Towers,2002,8.8,179,"Action, Adventure, Drama"
14,"Il buono, il brutto, il cattivo",1966,8.8,161,"Adventure, Western"
15,Jai Bhim,2021,8.8,164,"Crime, Drama, Mystery"
16,777 Charlie,2022,8.8,136,"Adventure, Comedy, Drama"
17,Rocketry: The Nambi Effect,2022,8.8,157,"Biography, Drama"
18,GoodFellas,1990,8.7,145,"Biography, Crime, Drama"
19,The Matrix,1999,8.7,136,"Action, Sci-Fi"
20,One Flew Over the Cuckoo's Nest,1975,8.7,133,Drama
21,The Empire Strikes Back,1980,8.7,124,"Action, Adventure, Fantasy"
22,Soorarai Pottru,2020,8.7,153,"Action, Drama"
23,Interstellar,2014,8.6,169,"Adventure, Drama, Sci-Fi"
24,Se7en,1995,8.6,127,"Crime, Drama, Mystery"
25,Star Wars,1977,8.6,121,"Action, Adventure, Fantasy"
26,The Silence of the Lambs,1991,8.6,118,"Crime, Drama, Thriller"
27,The Green Mile,1999,8.6,189,"Crime, Drama, Fantasy"
28,Sen to Chihiro no kamikakushi,2001,8.6,125,"Animation, Adventure, Family"
29,Terminator 2: Judgment Day,1991,8.6,137,"Action, Sci-Fi"
