,Country,Year,Geographic_Average Temperature at 2 Meters (Celsius (°C)),Geographic_Average Wind Speed at 10M Range (m/s),Geographic_Average Relative Humidity at 2 Meters (%) ,Geographic_Average Precipitation (mm/day),"Mosquito_Dengue cases per 100,000 people"
0,Afghanistan,2000.0,12.63,14.32,37.25,0.31,207.8400404
1,Afghanistan,2001.0,13.26,12.22,36.0,0.25,214.1838535
2,Afghanistan,2002.0,12.83,13.67,40.06,0.42,211.8388593
3,Afghanistan,2003.0,12.35,14.57,44.81,0.51,204.0933956
4,Afghanistan,2004.0,12.94,13.45,42.56,0.51,203.2853895
5,Afghanistan,2005.0,11.38,13.91,46.69,0.68,203.7761034
6,Afghanistan,2006.0,12.38,12.77,48.62,0.96,202.8671916
7,Afghanistan,2007.0,12.15,14.69,47.31,0.75,211.0279669
8,Afghanistan,2008.0,12.05,15.36,45.12,0.77,220.6328524
9,Afghanistan,2009.0,10.97,15.12,55.75,1.28,225.2400648
10,Afghanistan,2010.0,12.15,11.66,51.31,1.52,229.5712522
11,Afghanistan,2011.0,11.22,12.94,55.75,1.79,227.2584207
12,Afghanistan,2012.0,9.02,16.3,60.62,1.8,220.112567
13,Afghanistan,2013.0,11.5,13.34,51.38,1.27,212.5773591
14,Afghanistan,2014.0,10.55,12.31,55.19,1.61,203.5748085
15,Afghanistan,2015.0,10.97,17.75,60.62,2.19,198.4877272
16,Afghanistan,2016.0,11.9,12.18,56.56,2.32,197.1982387
17,Afghanistan,2017.0,12.13,14.3,46.31,0.61,195.9104654
18,Afghanistan,2018.0,12.9,14.3,39.44,0.23,195.205492
19,Afghanistan,2019.0,11.44,12.85,56.69,1.68,194.1786038
20,Bangladesh,2000.0,25.15,9.83,75.88,5.1,805.0391547
21,Bangladesh,2001.0,25.37,11.16,74.0,5.24,811.5833823
22,Bangladesh,2002.0,25.52,11.08,74.75,5.1,820.6976625
23,Bangladesh,2003.0,25.42,12.04,75.75,4.49,832.1001756
24,Bangladesh,2004.0,25.48,11.44,75.31,5.62,844.8225361
