Country,Year,Geographic_Average Temperature at 2 Meters (Celsius (°C)),Geographic_Average Wind Speed at 10M Range (m/s),Geographic_Average Relative Humidity at 2 Meters (%) ,Geographic_Average Precipitation (mm/day),"Mosquito_Dengue cases per 100,000 people"
Austria,2017,8.62,7.46,85.56,3.8,85
Austria,2018,9.9,6.92,86.06,3.32,85
Austria,2019,9.55,6.26,85.0,3.29,142
Austria,2020,9.34,8.3,84.44,3.91,38
Austria,2021,8.36,5.91,85.38,3.11,5
Belgium,2017,10.19,16.36,83.69,1.83,77
Belgium,2018,10.86,15.88,80.62,1.69,101
Belgium,2019,10.69,17.38,79.75,1.87,202
Belgium,2020,11.19,19.97,79.94,1.94,80
Belgium,2021,9.7,17.24,85.12,2.44,27
Croatia,2017,11.23,12.09,79.12,3.93,0
Croatia,2018,11.87,10.52,81.5,3.37,2
Croatia,2019,11.9,9.79,80.25,3.97,4
Croatia,2020,11.67,10.14,79.25,3.26,4
Croatia,2021,11.09,9.14,79.44,3.24,0
Czechia,2017,8.75,18.66,79.38,1.93,0
Czechia,2018,10.27,14.02,75.5,1.44,0
Czechia,2019,9.98,15.5,77.5,1.76,0
Czechia,2020,9.37,16.12,80.88,2.49,0
Czechia,2021,8.17,16.47,82.75,2.14,0
Estonia,2017,5.95,12.27,85.56,1.83,8
Estonia,2018,6.74,15.45,84.75,1.51,6
Estonia,2019,7.07,17.31,83.94,1.85,6
Estonia,2020,7.9,16.36,85.0,2.02,3
Estonia,2021,5.9,14.2,86.0,1.66,1
Finland,2017,4.4,9.42,89.81,2.45,25
Finland,2018,5.01,7.52,89.19,1.92,56
Finland,2019,4.95,8.47,88.88,2.38,81
Finland,2020,6.4,8.65,87.88,2.51,21
Finland,2021,4.12,8.31,89.56,2.58,7
France,2017,9.88,17.51,81.0,2.17,266
France,2018,10.69,13.58,80.38,2.13,331
France,2019,10.7,14.02,75.38,2.03,904
France,2020,10.88,15.16,79.69,2.08,1362
France,2021,9.45,12.66,82.75,2.22,231
Germany,2017,8.52,14.24,84.31,2.37,635
Germany,2018,9.85,17.84,78.62,1.54,614
Germany,2019,9.58,16.08,80.06,1.91,1178
